name,address,phone,timestamp,product1,unit_price1,quantity1,product2,unit_price2,quantity2,product3,unit_price3,quantity3
"John Butler","75223 Michael Haven, Rogersport, SD 63582","3919444766","2022-09-18 21:05:32","Amiga",84.24,1,"",0.00,0,"",0.00,0
"Rebecca Boone","5335 Chris Springs, Bethbury, MN 22140","7761754104","2022-05-04 04:29:24","Amiga",84.24,1,"",0.00,0,"",0.00,0
"Mark Strickland","Unit 8288 Box 7239, DPO AP 65666","(361)109-4290","2022-06-21 19:58:15","ZX Spectrum",120.78,1,"",0.00,0,"",0.00,0
"Michelle Campbell","Unit 1553 Box 7849, DPO AE 65482","360-239-6469","2022-04-26 00:11:13","Amiga",98.99,1,"",0.00,0,"",0.00,0
"Brenda Montgomery","3579 Smith Heights, Port Robertside, SD 46103","+1-030-904-2713","2022-05-01 13:10:36","ZX Spectrum",120.78,1,"",0.00,0,"",0.00,0
"Jesse Lee","8994 Salas Run, Stevenstad, WY 12838","2378245775","2022-01-21 09:23:03","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Joseph Martinez","24255 Young Burgs Apt. 830, Philipmouth, AR 29259","001-210-688-5158","2022-05-11 09:06:25","Commodore 64",74.35,1,"",0.00,0,"",0.00,0
"Shannon Smith","169 Danielle Crossing Suite 533, West Faithborough, AL 80727","451.547.5884","2022-10-18 18:51:18","Amiga",74.80,1,"Dragon 32",60.21,1,"",0.00,0
"Matthew Romero","427 Kelly Key Apt. 128, Port Jasonstad, LA 72108","900.556.8015","2022-06-25 21:00:23","Commodore 64",78.55,1,"Amiga",93.10,1,"CEC-I Zhonghua",96.99,1
"Maria Estrada","2141 Mary Wells, New Tyroneton, MT 55038","(166)124-7933","2022-05-09 13:38:52","Amiga",84.24,2,"Commodore 64",71.48,1,"",0.00,0
"Tyler Davis","34588 Louis Course, Port Andrea, AK 99947","702.748.8946","2022-07-01 20:30:18","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Randy Peterson","43233 Johnson Islands, South Tony, RI 04167","074.796.8809","2022-06-24 17:16:25","ZX Spectrum",120.78,1,"",0.00,0,"",0.00,0
"Joe Bradley","991 Timothy Stravenue Suite 753, East Kimberly, WY 65400","649-173-8258","2022-04-15 16:11:43","Commodore 64",71.48,2,"",0.00,0,"",0.00,0
"Carlos Lee","29896 Deborah Island Apt. 641, Kevinbury, AS 21103","001-489-920-5543","2022-10-07 06:36:10","Commodore 64",71.48,1,"Apple II",57.16,1,"",0.00,0
"Brian Haynes","654 Ingram Gateway Apt. 338, West Amberberg, AK 41132","(847)880-8472","2022-04-11 07:58:56","Apple II",52.90,2,"",0.00,0,"",0.00,0
"Grant Gonzalez","514 Jenna Glen Suite 002, Brownberg, ME 74881","726-689-3302","2022-01-15 17:58:12","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"John Sims","68765 Carmen Alley Suite 256, West Gregory, MP 81741","(203)197-7714","2022-05-13 00:35:37","Amiga",84.24,1,"Commodore 64",71.48,1,"",0.00,0
"Rebecca Smith","34208 Mullins Squares Apt. 337, Port Ralphland, MP 39685","328-263-7119","2022-12-20 03:57:26","ZX Spectrum",137.76,1,"Commodore 64",71.48,1,"",0.00,0
"Cassandra Riddle","802 Theresa Lights, West Ashley, ME 09514","(932)073-6275","2022-03-02 17:19:42","KC 87",64.15,1,"",0.00,0,"",0.00,0
"Nicholas Hodges","52301 Gene Walks, Stephanieside, PW 13021","(454)417-4495","2022-05-02 06:57:31","Amiga",84.24,1,"",0.00,0,"",0.00,0
"Brandi Novak","312 Jane Freeway, Port Lawrencemouth, OK 71444","217-545-2291","2022-09-20 19:24:59","Apple II",52.90,1,"Atari 600XL",66.68,1,"",0.00,0
"Benjamin Byrd","161 Rebecca Neck Apt. 518, Lake Christianburgh, IA 08650","001-367-756-8135","2022-01-13 23:31:46","MO5",89.02,1,"ZX Spectrum",120.78,1,"",0.00,0
"Reginald Harris","693 Jones Valley Suite 042, Millershire, AK 52848","4340131842","2022-09-01 05:11:02","Amiga",84.24,1,"",0.00,0,"",0.00,0
"Haley Mitchell","690 James Light, West Mariatown, FM 96239","7030482272","2022-05-29 13:10:05","ZX Spectrum",120.78,1,"Atari 800XL",120.33,1,"",0.00,0
"Maria Maldonado","5660 John Valley Apt. 013, Lake Travisfort, WI 48122","(268)391-0858","2022-03-14 06:25:44","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Alicia Wagner","996 Bell Station, New Robertfort, MT 64245","528.662.7824","2022-01-01 10:45:22","Euro PC",85.42,2,"",0.00,0,"",0.00,0
"Austin Rivera","89256 Gonzalez Lock, East Tamarabury, VT 43756","+1-264-661-5657","2022-12-20 21:36:50","ZX Spectrum",120.78,1,"",0.00,0,"",0.00,0
"Charles Chang","470 Cantu Plaza, Richardsview, UT 25717","221.419.8726","2022-09-19 15:54:08","ZX Spectrum",113.39,1,"Commodore 64",71.48,1,"",0.00,0
"Logan Weaver","50675 Linda Station, Ryanburgh, IA 08032","0054528384","2022-02-05 00:46:49","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Robert Pratt","PSC 2600, Box 7485, APO AP 85471","522-754-2975","2022-06-27 08:20:03","Commodore 64",71.48,1,"",0.00,0,"",0.00,0
"Bianca Kelley","595 Jones Key, Jacksonfurt, KY 01625","(766)328-6795","2022-01-10 02:36:35","Commodore 64",65.62,1,"",0.00,0,"",0.00,0
"Jonathan Simon","232 Steven Curve Apt. 646, North Mary, HI 43145","204.004.7100","2022-10-28 09:33:23","MTX500",77.68,1,"",0.00,0,"",0.00,0
"Olivia Wilson","296 Rojas Vista Suite 759, Laurenstad, WI 68632","195-914-5742","2022-02-26 23:21:06","Amiga",84.24,1,"",0.00,0,"",0.00,0
"Edward Green","2489 Brown Mountain, South Sharon, VI 53564","0076757618","2022-04-09 21:50:04","Amiga",82.14,1,"",0.00,0,"",0.00,0
"Rachael Johnson","40236 Gonzales Locks Apt. 341, East Philip, WI 84138","159.465.2696","2022-05-03 17:26:34","Commodore 64",82.07,1,"",0.00,0,"",0.00,0
