customer,product,timestamp,rating,comment
"Rebecca Boone","Amiga","2022-02-19 21:58:56",4,""
"Brenda Montgomery","ZX Spectrum","2022-08-11 22:16:10",5,""
"Brenda Montgomery","Ivel Z3","2022-02-14 03:03:42",4,""
"Shannon Smith","Dragon 32","2022-12-22 14:58:05",5,"Current color case keep. Thank American perform week share exactly. Tend meet claim stuff free trade."
"Shannon Smith","ZX Spectrum","2022-12-06 21:23:57",5,""
"Shannon Smith","Amiga","2022-09-19 13:29:15",4,"While so than concern. Energy while language blood include civil. Media think evidence front stuff fly."
"Shannon Smith","FM Towns","2022-05-12 08:32:36",1,""
"Maria Estrada","Commodore 64","2022-04-13 11:11:18",4,""
"Maria Estrada","Amiga","2022-03-29 19:01:43",5,""
"Randy Peterson","Commodore 64","2022-08-24 11:15:30",5,"Carry law issue once section. Job true energy staff light accept."
"Randy Peterson","ZX Spectrum","2022-12-31 13:16:50",5,"Art statement hair however son. Hold city defense."
"Brian Haynes","Apple II","2022-09-03 01:01:03",1,""
"Brian Haynes","Commodore 64","2022-08-28 19:37:52",3,"Keep use natural wife any. Least since newspaper."
"Brian Haynes","CCE MC-1000","2022-07-08 19:39:09",5,"Office rise decision green surface child every decide. Environment thing blue. One employee station score."
"Rebecca Smith","Commodore 64","2022-05-13 13:29:46",5,""
"Rebecca Smith","ZX Spectrum","2022-04-16 04:24:11",4,"Various wall describe than. Clearly foreign guess environment still."
"Cassandra Riddle","KC 87","2022-08-10 18:20:58",4,""
"Brandi Novak","Atari 600XL","2022-05-05 04:43:54",4,"Grow yard tough. Clear seat people that politics agree long age."
"Brandi Novak","West PC-800","2022-10-05 03:36:17",4,""
"Brandi Novak","Amiga","2022-01-23 05:29:01",3,""
"Reginald Harris","Amiga","2022-02-18 22:39:15",5,""
"Austin Rivera","ZX Spectrum","2022-12-03 12:23:36",5,""
"Charles Chang","Commodore 64","2022-03-27 13:28:17",4,""
"Charles Chang","Amiga","2022-10-24 14:07:23",5,""
"Rachael Johnson","ZX Spectrum","2022-04-23 22:35:45",1,"Meeting development buy performance fall skill brother. Who program beautiful billion almost improve heavy."
"Christine Boyer","Commodore 64","2022-10-19 21:26:49",5,"Million loss once get carry every. Push human common suffer."
"Christine Boyer","Amiga","2022-10-12 08:58:21",4,"Standard war service entire imagine. Watch wide member. Mind where subject investment week challenge break instead."
"Anthony Morgan","Apple II","2022-04-26 09:09:16",5,""
"Anthony Morgan","Commodore 64","2022-01-28 12:49:35",4,"Word traditional type find figure defense according local. Century there use for these."
"Zachary Mccoy","Apple II","2022-10-10 06:43:34",3,""
"Zachary Mccoy","Timex Sinclair 1500","2022-05-01 16:40:49",5,""
"Zachary Mccoy","Amiga","2022-09-29 07:54:32",5,""
"Ricardo Delacruz","Amiga","2022-01-10 19:44:34",2,"Name sure every box low moment them life. Enter soon in food style study ball."
"Jamie Wood DVM","ZX Spectrum","2022-07-18 18:38:58",5,"Nor from enough way claim determine series write. Head various thousand."
"Laura Collins","Apple II","2022-08-26 06:16:38",5,""
"Laura Collins","PET","2022-03-07 11:19:24",5,"No above catch leave environmental subject. Compare each return spend he person huge. Public view weight."
"Laura Collins","ZX Spectrum","2022-12-12 15:00:07",4,""
"Laura Collins","Iskra-1030","2022-01-26 00:40:41",1,""
"Blake Rodriguez","Apple II","2022-10-09 12:13:11",4,""
